Time (h),Discharge (Ah),Charge (Ah)
0.352100,0.0000000000,0.0162855265
0.769547,0.0201084724,0.0000000000
1.189594,0.0000000000,0.0201124999
1.606967,0.0201079499,0.0000000000
2.027050,0.0000000000,0.0201106193
2.444422,0.0201062418,0.0000000000
2.864361,0.0000000000,0.0201096761
3.281661,0.0201061775,0.0000000000
3.701672,0.0000000000,0.0201066713
4.119008,0.0201070348,0.0000000000
4.538983,0.0000000000,0.0201078777
4.956392,0.0201029936,0.0000000000
5.376511,0.0000000000,0.0201057749
5.793817,0.0201032220,0.0000000000
6.213722,0.0000000000,0.0201053750
6.630847,0.0201020809,0.0000000000
7.050753,0.0000000000,0.0201042041
7.467983,0.0201017410,0.0000000000
7.887708,0.0000000000,0.0201019288
8.304939,0.0201027558,0.0000000000
8.724839,0.0000000000,0.0201029183
9.141994,0.0200995599,0.0000000000
9.561900,0.0000000000,0.0201015404
9.979056,0.0201003447,0.0000000000
10.398747,0.0000000000,0.0201005456
10.815794,0.0200992648,0.0000000000
11.235731,0.0000000000,0.0201008011
11.652778,0.0200987342,0.0000000000
12.072569,0.0000000000,0.0201006468
12.489653,0.0200995973,0.0000000000
12.909447,0.0000000000,0.0200995090
13.326497,0.0200970615,0.0000000000
13.746397,0.0000000000,0.0201002666
14.163447,0.0200957535,0.0000000000
14.583203,0.0000000000,0.0200964341
15.000217,0.0200985229,0.0000000000
15.420044,0.0000000000,0.0200987323
15.837097,0.0200952134,0.0000000000
16.256817,0.0000000000,0.0200963133
16.673794,0.0200945393,0.0000000000
17.093514,0.0000000000,0.0200965187
17.510492,0.0200953513,0.0000000000
17.930211,0.0000000000,0.0201000846
18.347153,0.0200965026,0.0000000000
18.766803,0.0000000000,0.0200958026
19.183678,0.0200945111,0.0000000000
19.603219,0.0000000000,0.0200927638
20.020103,0.0200929316,0.0000000000
20.439931,0.0000000000,0.0200945884
20.856797,0.0200914953,0.0000000000
21.276592,0.0000000000,0.0200934961
21.693567,0.0200929892,0.0000000000
22.113286,0.0000000000,0.0200943402
22.530153,0.0200897645,0.0000000000
22.949800,0.0000000000,0.0200939902
23.366667,0.0200930479,0.0000000000
23.786206,0.0000000000,0.0200926987
24.203072,0.0200915987,0.0000000000
24.622719,0.0000000000,0.0200907618
25.039517,0.0200905570,0.0000000000
25.458950,0.0000000000,0.0200933639
25.875747,0.0200929877,0.0000000000
26.295217,0.0000000000,0.0200913528
26.711803,0.0200876046,0.0000000000
27.131167,0.0000000000,0.0200919001
27.547856,0.0200900611,0.0000000000
27.967250,0.0000000000,0.0200892889
28.383758,0.0200879856,0.0000000000
28.803047,0.0000000000,0.0200911538
29.219736,0.0200899278,0.0000000000
29.639167,0.0000000000,0.0200900097
30.055675,0.0200853557,0.0000000000
30.474961,0.0000000000,0.0200879480
30.891578,0.0200894440,0.0000000000
31.310936,0.0000000000,0.0200878579
31.727550,0.0200875984,0.0000000000
32.146731,0.0000000000,0.0200885266
32.563236,0.0200893925,0.0000000000
32.982525,0.0000000000,0.0200888929
33.398958,0.0200867952,0.0000000000
33.818139,0.0000000000,0.0200899245
34.234575,0.0200880736,0.0000000000
34.653792,0.0000000000,0.0200906640
35.070264,0.0200862154,0.0000000000
35.489297,0.0000000000,0.0200878608
35.905733,0.0200892775,0.0000000000
36.324911,0.0000000000,0.0200898849
36.741239,0.0200851095,0.0000000000
37.160092,0.0000000000,0.0200863967
37.576308,0.0200862905,0.0000000000
37.995164,0.0000000000,0.0200887948
38.411958,0.0200849944,0.0000000000
38.831244,0.0000000000,0.0200823727
39.247822,0.0200821161,0.0000000000
39.667111,0.0000000000,0.0200857895
40.083908,0.0200838354,0.0000000000
40.503014,0.0000000000,0.0200811503
40.919522,0.0200809252,0.0000000000
41.338714,0.0000000000,0.0200824996
41.755297,0.0200811523,0.0000000000
42.174586,0.0000000000,0.0200811041
42.591275,0.0200786705,0.0000000000
43.010453,0.0000000000,0.0200808534
43.426964,0.0200794421,0.0000000000
43.846250,0.0000000000,0.0200789486
44.262864,0.0200795897,0.0000000000
44.681969,0.0000000000,0.0200806284
45.098475,0.0200778712,0.0000000000
45.517767,0.0000000000,0.0200793435
45.934272,0.0200779929,0.0000000000
46.353486,0.0000000000,0.0200793833
46.769992,0.0200783466,0.0000000000
47.189100,0.0000000000,0.0200816603
47.605503,0.0200786252,0.0000000000
48.024503,0.0000000000,0.0200787822
48.440939,0.0200782165,0.0000000000
48.860050,0.0000000000,0.0200802379
49.276456,0.0200775911,0.0000000000
49.695308,0.0000000000,0.0200781136
50.111639,0.0200778626,0.0000000000
50.530572,0.0000000000,0.0200776941
50.946903,0.0200770208,0.0000000000
51.365647,0.0000000000,0.0200776793
51.781864,0.0200763784,0.0000000000
52.200717,0.0000000000,0.0200773456
52.616969,0.0200769136,0.0000000000
53.035786,0.0000000000,0.0200768264
53.452219,0.0200769831,0.0000000000
53.871147,0.0000000000,0.0200753806
54.287472,0.0200745416,0.0000000000
54.706328,0.0000000000,0.0200762366
55.122364,0.0200716722,0.0000000000
55.541472,0.0000000000,0.0200757146
55.957800,0.0200723189,0.0000000000
56.376728,0.0000000000,0.0200714341
56.792986,0.0200725730,0.0000000000
57.211806,0.0000000000,0.0200733533
57.628058,0.0200709644,0.0000000000
58.046986,0.0000000000,0.0200722325
