Time (h),Discharge (Ah),Charge (Ah)
0.317614,0.0000000000,0.0146915088
0.729967,0.0199269754,0.0000000000
1.144017,0.0000000000,0.0199332697
1.556189,0.0199215448,0.0000000000
1.970203,0.0000000000,0.0199267257
2.382378,0.0199163384,0.0000000000
2.796319,0.0000000000,0.0199169829
3.208311,0.0199071079,0.0000000000
3.622292,0.0000000000,0.0199142994
4.034175,0.0199018416,0.0000000000
4.447831,0.0000000000,0.0199021725
4.859503,0.0198952319,0.0000000000
5.272978,0.0000000000,0.0198976641
5.684394,0.0198872812,0.0000000000
6.097692,0.0000000000,0.0198922994
6.509036,0.0198826011,0.0000000000
6.922219,0.0000000000,0.0198872157
7.333383,0.0198741490,0.0000000000
7.746425,0.0000000000,0.0198783576
8.157661,0.0198662772,0.0000000000
8.570592,0.0000000000,0.0198685294
8.981539,0.0198630291,0.0000000000
9.394397,0.0000000000,0.0198678464
9.805200,0.0198555296,0.0000000000
10.218022,0.0000000000,0.0198594508
10.628894,0.0198529206,0.0000000000
11.041503,0.0000000000,0.0198574202
11.452014,0.0198458830,0.0000000000
11.864947,0.0000000000,0.0198423510
12.275675,0.0198340380,0.0000000000
12.688497,0.0000000000,0.0198379023
13.099011,0.0198265028,0.0000000000
13.511689,0.0000000000,0.0198345295
13.922381,0.0198313978,0.0000000000
14.334989,0.0000000000,0.0198366413
14.745506,0.0198257249,0.0000000000
15.158153,0.0000000000,0.0198292908
15.568594,0.0198214646,0.0000000000
15.980986,0.0000000000,0.0198235302
16.391353,0.0198150232,0.0000000000
16.803669,0.0000000000,0.0198197953
17.213892,0.0198109490,0.0000000000
17.626036,0.0000000000,0.0198124149
18.036042,0.0198028099,0.0000000000
18.447889,0.0000000000,0.0198055028
18.857692,0.0197953120,0.0000000000
19.269583,0.0000000000,0.0197992522
19.679372,0.0197910928,0.0000000000
20.091219,0.0000000000,0.0197936284
20.500867,0.0197852250,0.0000000000
20.912464,0.0000000000,0.0197891788
21.322000,0.0197813307,0.0000000000
21.733489,0.0000000000,0.0197831255
22.142953,0.0197740566,0.0000000000
22.554369,0.0000000000,0.0197766132
22.963653,0.0197673736,0.0000000000
23.374778,0.0000000000,0.0197698751
23.783989,0.0197606482,0.0000000000
24.195222,0.0000000000,0.0197635612
24.604219,0.0197558946,0.0000000000
25.015453,0.0000000000,0.0197542977
25.424378,0.0197395052,0.0000000000
25.835325,0.0000000000,0.0197418354
26.244069,0.0197354481,0.0000000000
26.654869,0.0000000000,0.0197383433
27.063508,0.0197293834,0.0000000000
27.474200,0.0000000000,0.0197330779
27.882764,0.0197257081,0.0000000000
28.293383,0.0000000000,0.0197252441
28.701947,0.0197175017,0.0000000000
29.112533,0.0000000000,0.0197228196
29.520736,0.0197132230,0.0000000000
29.931175,0.0000000000,0.0197169183
30.339014,0.0197049547,0.0000000000
30.749092,0.0000000000,0.0197071442
31.156861,0.0197007166,0.0000000000
31.566550,0.0000000000,0.0197018714
31.974139,0.0196943455,0.0000000000
32.383858,0.0000000000,0.0196984511
32.791339,0.0196912676,0.0000000000
33.200875,0.0000000000,0.0196916529
33.608103,0.0196845369,0.0000000000
34.017278,0.0000000000,0.0196905356
34.424322,0.0196808178,0.0000000000
34.833608,0.0000000000,0.0196800991
35.241269,0.0196769810,0.0000000000
35.650633,0.0000000000,0.0196827375
36.058114,0.0196742498,0.0000000000
36.467472,0.0000000000,0.0196784867
36.875061,0.0196715786,0.0000000000
37.284417,0.0000000000,0.0196742928
37.691606,0.0196646564,0.0000000000
38.100819,0.0000000000,0.0196656780
38.508189,0.0196585834,0.0000000000
38.917219,0.0000000000,0.0196620990
39.324228,0.0196522643,0.0000000000
39.732972,0.0000000000,0.0196542707
