Time (h),Discharge (Ah),Charge (Ah)
0.273494,0.0000000000,0.0122637624
0.699425,0.0204715294,0.0000000000
1.128750,0.0000000000,0.0204739228
1.554969,0.0204694857,0.0000000000
1.984078,0.0000000000,0.0204733108
2.409575,0.0204695003,0.0000000000
2.838647,0.0000000000,0.0204728981
3.263894,0.0204684695,0.0000000000
3.692858,0.0000000000,0.0204722173
4.118106,0.0204687396,0.0000000000
4.547069,0.0000000000,0.0204720041
4.972242,0.0204676513,0.0000000000
5.401169,0.0000000000,0.0204710446
5.826269,0.0204673652,0.0000000000
6.255308,0.0000000000,0.0204702727
6.680372,0.0204643922,0.0000000000
7.109228,0.0000000000,0.0204661512
7.534400,0.0204625427,0.0000000000
7.963183,0.0000000000,0.0204660134
8.388175,0.0204624599,0.0000000000
8.817033,0.0000000000,0.0204660327
9.242025,0.0204614484,0.0000000000
9.670772,0.0000000000,0.0204646202
10.095692,0.0204638893,0.0000000000
10.524372,0.0000000000,0.0204673022
10.949364,0.0204630743,0.0000000000
11.378219,0.0000000000,0.0204654227
11.803106,0.0204619634,0.0000000000
12.231711,0.0000000000,0.0204651781
12.656706,0.0204617184,0.0000000000
13.085381,0.0000000000,0.0204640824
13.510300,0.0204594195,0.0000000000
13.939047,0.0000000000,0.0204629531
14.363858,0.0204617270,0.0000000000
14.792461,0.0000000000,0.0204642096
15.217164,0.0204604831,0.0000000000
15.645842,0.0000000000,0.0204630545
16.070475,0.0204593130,0.0000000000
16.499081,0.0000000000,0.0204624122
16.923892,0.0204591088,0.0000000000
17.352567,0.0000000000,0.0204616283
17.777306,0.0204587479,0.0000000000
18.205769,0.0000000000,0.0204615892
18.630511,0.0204585762,0.0000000000
19.059011,0.0000000000,0.0204613080
19.483642,0.0204584696,0.0000000000
19.912144,0.0000000000,0.0204614224
20.336703,0.0204583440,0.0000000000
20.765017,0.0000000000,0.0204622590
21.189469,0.0204585289,0.0000000000
21.617606,0.0000000000,0.0204607486
22.042056,0.0204581312,0.0000000000
22.470297,0.0000000000,0.0204613697
22.894747,0.0204584609,0.0000000000
23.323494,0.0000000000,0.0204588992
23.748706,0.0204540874,0.0000000000
24.177344,0.0000000000,0.0204566033
24.602450,0.0204534758,0.0000000000
25.031019,0.0000000000,0.0204565096
25.455869,0.0204533056,0.0000000000
25.884689,0.0000000000,0.0204549622
26.309683,0.0204513319,0.0000000000
26.737925,0.0000000000,0.0204549091
27.162736,0.0204527429,0.0000000000
27.591050,0.0000000000,0.0204551204
28.015897,0.0204514394,0.0000000000
28.444358,0.0000000000,0.0204536991
28.869100,0.0204502949,0.0000000000
29.297422,0.0000000000,0.0204534277
29.722053,0.0204498288,0.0000000000
30.150367,0.0000000000,0.0204528554
30.575003,0.0204497738,0.0000000000
31.003244,0.0000000000,0.0204524414
31.427878,0.0204499169,0.0000000000
31.856083,0.0000000000,0.0204514132
32.280642,0.0204488240,0.0000000000
32.708703,0.0000000000,0.0204514893
33.133333,0.0204496451,0.0000000000
33.561467,0.0000000000,0.0204523777
33.986133,0.0204494143,0.0000000000
34.414089,0.0000000000,0.0204511176
34.838467,0.0204490934,0.0000000000
35.266567,0.0000000000,0.0204521811
35.690944,0.0204488477,0.0000000000
36.118828,0.0000000000,0.0204508339
36.543208,0.0204487970,0.0000000000
36.971053,0.0000000000,0.0204512972
37.395433,0.0204484162,0.0000000000
37.823206,0.0000000000,0.0204496048
38.247403,0.0204461329,0.0000000000
38.675286,0.0000000000,0.0204493760
39.099556,0.0204470002,0.0000000000
39.527511,0.0000000000,0.0204491999
39.951925,0.0204466914,0.0000000000
40.379769,0.0000000000,0.0204489645
40.804042,0.0204462144,0.0000000000
41.231819,0.0000000000,0.0204483310
41.656017,0.0204453945,0.0000000000
42.083717,0.0000000000,0.0204478497
42.507811,0.0204451202,0.0000000000
42.935478,0.0000000000,0.0204480479
43.359675,0.0204453012,0.0000000000
43.787194,0.0000000000,0.0204462931
44.211286,0.0204438179,0.0000000000
44.638914,0.0000000000,0.0204468514
45.062900,0.0204440756,0.0000000000
45.490317,0.0000000000,0.0204457665
45.914553,0.0204439075,0.0000000000
46.342217,0.0000000000,0.0204458798
46.766236,0.0204431380,0.0000000000
47.193756,0.0000000000,0.0204456559
47.617775,0.0204436238,0.0000000000
48.045186,0.0000000000,0.0204458866
48.469206,0.0204447297,0.0000000000
48.896514,0.0000000000,0.0204466435
49.320461,0.0204440183,0.0000000000
49.747694,0.0000000000,0.0204460570
50.171642,0.0204439428,0.0000000000
50.598872,0.0000000000,0.0204464466
51.022711,0.0204438216,0.0000000000
51.449761,0.0000000000,0.0204450855
51.873706,0.0204423858,0.0000000000
52.300942,0.0000000000,0.0204448235
52.724672,0.0204417031,0.0000000000
53.151903,0.0000000000,0.0204432529
53.575667,0.0204404562,0.0000000000
54.002897,0.0000000000,0.0204424861
54.426664,0.0204414285,0.0000000000
54.853894,0.0000000000,0.0204426675
55.277553,0.0204390934,0.0000000000
55.704894,0.0000000000,0.0204418879
56.128622,0.0204394606,0.0000000000
56.555783,0.0000000000,0.0204409962
56.979514,0.0204388152,0.0000000000
57.406783,0.0000000000,0.0204404138
57.830439,0.0204375781,0.0000000000
58.257561,0.0000000000,0.0204397936
58.681433,0.0204372168,0.0000000000
59.108669,0.0000000000,0.0204383380
59.532403,0.0204360383,0.0000000000
59.959744,0.0000000000,0.0204375590
60.383475,0.0204349504,0.0000000000
60.810714,0.0000000000,0.0204361390
61.234481,0.0204339897,0.0000000000
61.661717,0.0000000000,0.0204363940
62.085450,0.0204341666,0.0000000000
62.512686,0.0000000000,0.0204359380
62.936347,0.0204329585,0.0000000000
63.363511,0.0000000000,0.0204352866
