Time (h),Discharge (Ah),Charge (Ah)
0.233011,0.0000000000,0.0102409586
0.653200,0.0201042339,0.0000000000
1.074619,0.0000000000,0.0201041673
1.493978,0.0200815549,0.0000000000
1.914528,0.0000000000,0.0200771174
2.333419,0.0200561481,0.0000000000
2.754078,0.0000000000,0.0200579222
3.172533,0.0200360535,0.0000000000
3.592506,0.0000000000,0.0200351103
4.010675,0.0200212500,0.0000000000
4.430358,0.0000000000,0.0200197433
4.848058,0.0200026869,0.0000000000
5.267236,0.0000000000,0.0199992297
5.684144,0.0199824468,0.0000000000
6.102925,0.0000000000,0.0199776909
6.520011,0.0199601688,0.0000000000
6.938650,0.0000000000,0.0199595167
7.354686,0.0199342412,0.0000000000
7.772569,0.0000000000,0.0199292572
8.188319,0.0199211144,0.0000000000
8.605875,0.0000000000,0.0199193943
9.021081,0.0199005521,0.0000000000
9.437911,0.0000000000,0.0198966911
9.852792,0.0198901064,0.0000000000
10.269881,0.0000000000,0.0198876414
10.684475,0.0198726773,0.0000000000
11.101019,0.0000000000,0.0198682293
11.515358,0.0198553218,0.0000000000
11.931286,0.0000000000,0.0198532780
12.344975,0.0198386461,0.0000000000
12.760833,0.0000000000,0.0198338488
13.174275,0.0198182284,0.0000000000
13.590022,0.0000000000,0.0198172293
14.003281,0.0198059814,0.0000000000
14.418600,0.0000000000,0.0198019253
14.831133,0.0197768719,0.0000000000
15.245622,0.0000000000,0.0197736057
15.657978,0.0197702247,0.0000000000
16.072503,0.0000000000,0.0197667236
16.484494,0.0197528706,0.0000000000
16.898653,0.0000000000,0.0197511946
17.310286,0.0197399088,0.0000000000
17.723981,0.0000000000,0.0197359880
18.135289,0.0197230897,0.0000000000
18.549158,0.0000000000,0.0197201080
18.960356,0.0197054669,0.0000000000
19.373722,0.0000000000,0.0197014104
19.784775,0.0196897655,0.0000000000
20.197886,0.0000000000,0.0196850527
20.608433,0.0196739749,0.0000000000
21.021147,0.0000000000,0.0196725849
21.431300,0.0196572876,0.0000000000
21.843292,0.0000000000,0.0196492884
22.252972,0.0196399019,0.0000000000
22.664892,0.0000000000,0.0196389916
23.074289,0.0196241116,0.0000000000
23.485925,0.0000000000,0.0196214954
23.895064,0.0196125646,0.0000000000
24.306189,0.0000000000,0.0196102987
24.715039,0.0195993474,0.0000000000
25.125986,0.0000000000,0.0195965434
25.534583,0.0195853137,0.0000000000
25.945167,0.0000000000,0.0195825204
26.353333,0.0195684731,0.0000000000
26.763450,0.0000000000,0.0195651158
27.171256,0.0195551702,0.0000000000
27.581406,0.0000000000,0.0195510975
27.988919,0.0195380345,0.0000000000
28.398456,0.0000000000,0.0195355474
28.805900,0.0195222237,0.0000000000
29.215219,0.0000000000,0.0195201590
29.622228,0.0195074596,0.0000000000
30.031367,0.0000000000,0.0195030192
30.438086,0.0194903025,0.0000000000
30.847044,0.0000000000,0.0194894643
31.253331,0.0194810348,0.0000000000
31.661819,0.0000000000,0.0194773773
32.067925,0.0194664078,0.0000000000
32.476206,0.0000000000,0.0194606534
32.881853,0.0194489441,0.0000000000
33.290017,0.0000000000,0.0194471645
33.695689,0.0194341991,0.0000000000
34.103419,0.0000000000,0.0194309039
34.508806,0.0194192482,0.0000000000
34.916139,0.0000000000,0.0194164042
35.321089,0.0194073609,0.0000000000
35.728247,0.0000000000,0.0194033476
36.133017,0.0193906444,0.0000000000
36.540025,0.0000000000,0.0193867409
36.944367,0.0193755750,0.0000000000
37.351164,0.0000000000,0.0193749976
37.755328,0.0193638719,0.0000000000
38.161758,0.0000000000,0.0193618338
38.565625,0.0193485016,0.0000000000
38.971808,0.0000000000,0.0193440095
39.375425,0.0193352111,0.0000000000
39.781533,0.0000000000,0.0193336387
40.185039,0.0193209714,0.0000000000
40.590783,0.0000000000,0.0193182761
40.994039,0.0193082809,0.0000000000
41.399533,0.0000000000,0.0193061015
41.802497,0.0192952726,0.0000000000
42.207808,0.0000000000,0.0192929247
42.610519,0.0192803473,0.0000000000
43.015181,0.0000000000,0.0192774145
43.417458,0.0192673765,0.0000000000
43.822228,0.0000000000,0.0192669936
44.224144,0.0192525656,0.0000000000
44.628444,0.0000000000,0.0192493112
45.030108,0.0192433682,0.0000000000
45.434119,0.0000000000,0.0192381329
45.835497,0.0192274329,0.0000000000
46.239472,0.0000000000,0.0192290792
46.640669,0.0192146241,0.0000000000
47.044253,0.0000000000,0.0192116571
47.445089,0.0192030230,0.0000000000
47.848344,0.0000000000,0.0191989136
48.248925,0.0191898884,0.0000000000
48.651894,0.0000000000,0.0191894388
49.052367,0.0191807344,0.0000000000
49.454969,0.0000000000,0.0191778500
49.855369,0.0191673408,0.0000000000
50.258008,0.0000000000,0.0191653898
50.657758,0.0191533489,0.0000000000
51.059856,0.0000000000,0.0191484893
51.459428,0.0191355784,0.0000000000
51.861236,0.0000000000,0.0191330007
52.260664,0.0191261513,0.0000000000
52.662111,0.0000000000,0.0191202820
53.060997,0.0191082359,0.0000000000
53.462444,0.0000000000,0.0191115604
53.861039,0.0190974243,0.0000000000
54.262053,0.0000000000,0.0190947718
54.660394,0.0190827556,0.0000000000
55.061231,0.0000000000,0.0190801121
55.459286,0.0190704544,0.0000000000
55.860050,0.0000000000,0.0190696209
56.257925,0.0190634921,0.0000000000
56.658147,0.0000000000,0.0190572168
57.055767,0.0190468991,0.0000000000
57.455878,0.0000000000,0.0190444625
57.853244,0.0190321584,0.0000000000
58.252819,0.0000000000,0.0190337079
58.649897,0.0190256311,0.0000000000
59.049397,0.0000000000,0.0190233909
59.446294,0.0190131087,0.0000000000
59.845611,0.0000000000,0.0190121521
60.242328,0.0190014431,0.0000000000
60.641286,0.0000000000,0.0189986221
61.037572,0.0189873006,0.0000000000
61.436350,0.0000000000,0.0189850246
61.832489,0.0189759406,0.0000000000
62.231083,0.0000000000,0.0189731956
62.626825,0.0189632649,0.0000000000
63.025061,0.0000000000,0.0189625311
63.420697,0.0189513818,0.0000000000
63.818678,0.0000000000,0.0189499745
64.214097,0.0189407515,0.0000000000
64.611897,0.0000000000,0.0189386594
65.006992,0.0189280655,0.0000000000
65.404506,0.0000000000,0.0189262343
65.799347,0.0189170574,0.0000000000
66.196825,0.0000000000,0.0189152416
66.591233,0.0189044696,0.0000000000
66.988311,0.0000000000,0.0189026023
67.382717,0.0188928107,0.0000000000
67.779511,0.0000000000,0.0188895531
68.173558,0.0188793248,0.0000000000
68.570275,0.0000000000,0.0188774395
68.964069,0.0188665843,0.0000000000
69.360428,0.0000000000,0.0188651747
69.753931,0.0188554927,0.0000000000
70.150033,0.0000000000,0.0188539281
70.543356,0.0188450105,0.0000000000
70.939208,0.0000000000,0.0188432668
71.332242,0.0188330329,0.0000000000
71.727839,0.0000000000,0.0188314434
72.120728,0.0188226520,0.0000000000
72.515931,0.0000000000,0.0188211799
72.908461,0.0188108477,0.0000000000
73.303553,0.0000000000,0.0188085622
73.695975,0.0187983814,0.0000000000
74.090994,0.0000000000,0.0187971340
74.483089,0.0187873134,0.0000000000
74.877747,0.0000000000,0.0187859005
75.269661,0.0187764439,0.0000000000
75.663994,0.0000000000,0.0187742223
76.055511,0.0187640741,0.0000000000
76.449556,0.0000000000,0.0187622854
76.840822,0.0187519430,0.0000000000
77.234511,0.0000000000,0.0187492650
77.625633,0.0187394589,0.0000000000
78.019211,0.0000000000,0.0187385073
78.409972,0.0187277733,0.0000000000
78.803300,0.0000000000,0.0187248581
79.193844,0.0187142249,0.0000000000
79.586986,0.0000000000,0.0187130469
79.977278,0.0187038925,0.0000000000
80.369986,0.0000000000,0.0187023037
80.759917,0.0186918391,0.0000000000
81.152378,0.0000000000,0.0186904543
81.542306,0.0186810649,0.0000000000
81.934839,0.0000000000,0.0186796661
82.324664,0.0186702140,0.0000000000
82.716939,0.0000000000,0.0186683857
83.106433,0.0186575513,0.0000000000
83.498425,0.0000000000,0.0186556685
83.887706,0.0186454369,0.0000000000
84.279258,0.0000000000,0.0186426077
84.668211,0.0186329229,0.0000000000
85.059656,0.0000000000,0.0186318444
85.448250,0.0186223263,0.0000000000
85.839553,0.0000000000,0.0186198527
86.227967,0.0186097058,0.0000000000
86.618869,0.0000000000,0.0186080429
87.007028,0.0185985721,0.0000000000
87.397753,0.0000000000,0.0185970393
87.785733,0.0185875248,0.0000000000
88.176203,0.0000000000,0.0185860553
88.563897,0.0185757233,0.0000000000
88.954186,0.0000000000,0.0185749411
89.341731,0.0185650663,0.0000000000
89.731733,0.0000000000,0.0185629476
90.119278,0.0185545508,0.0000000000
90.509175,0.0000000000,0.0185526683
90.896286,0.0185422222,0.0000000000
91.286000,0.0000000000,0.0185403883
91.672825,0.0185308278,0.0000000000
92.062247,0.0000000000,0.0185298875
92.448781,0.0185208703,0.0000000000
92.837917,0.0000000000,0.0185198780
93.224197,0.0185116899,0.0000000000
93.613078,0.0000000000,0.0185104560
93.999033,0.0185004953,0.0000000000
94.387517,0.0000000000,0.0184993103
94.773367,0.0184910589,0.0000000000
95.161633,0.0000000000,0.0184891120
95.547158,0.0184801102,0.0000000000
95.935142,0.0000000000,0.0184798897
96.320450,0.0184707917,0.0000000000
96.708036,0.0000000000,0.0184686128
97.093092,0.0184590251,0.0000000000
97.480492,0.0000000000,0.0184574929
97.865364,0.0184487772,0.0000000000
98.252694,0.0000000000,0.0184476545
98.637136,0.0184376351,0.0000000000
99.024103,0.0000000000,0.0184360873
99.408547,0.0184272357,0.0000000000
99.795297,0.0000000000,0.0184261334
100.179375,0.0184154871,0.0000000000
100.565878,0.0000000000,0.0184140276
100.949847,0.0184047438,0.0000000000
101.336417,0.0000000000,0.0184032139
101.720025,0.0183917779,0.0000000000
102.106233,0.0000000000,0.0183894352
102.489769,0.0183813293,0.0000000000
102.875619,0.0000000000,0.0183798856
103.258906,0.0183694560,0.0000000000
103.644825,0.0000000000,0.0183680813
104.027822,0.0183576283,0.0000000000
104.413242,0.0000000000,0.0183561859
104.796242,0.0183480942,0.0000000000
105.181622,0.0000000000,0.0183471207
105.564189,0.0183363781,0.0000000000
