Time (h),Discharge (Ah),Charge (Ah)
0.234450,0.0000000000,0.0103872195
0.652731,0.0201069347,0.0000000000
1.073172,0.0000000000,0.0201196455
1.491194,0.0201034662,0.0000000000
1.911314,0.0000000000,0.0201129604
2.329306,0.0201038052,0.0000000000
2.749278,0.0000000000,0.0201129898
3.166978,0.0201035023,0.0000000000
3.586700,0.0000000000,0.0201121868
4.004328,0.0201023940,0.0000000000
4.423831,0.0000000000,0.0201084018
4.841275,0.0200990869,0.0000000000
5.260781,0.0000000000,0.0201055005
5.677975,0.0200975066,0.0000000000
6.097336,0.0000000000,0.0201036814
6.514567,0.0200955518,0.0000000000
6.933744,0.0000000000,0.0201003473
7.351119,0.0200934522,0.0000000000
7.770408,0.0000000000,0.0200984350
8.187603,0.0200914214,0.0000000000
8.606744,0.0000000000,0.0200962532
9.023689,0.0200897420,0.0000000000
9.442653,0.0000000000,0.0200944837
9.859844,0.0200884014,0.0000000000
10.279169,0.0000000000,0.0200931334
10.696075,0.0200873762,0.0000000000
11.114967,0.0000000000,0.0200919118
11.531797,0.0200858475,0.0000000000
11.950836,0.0000000000,0.0200900109
12.367567,0.0200794423,0.0000000000
12.786278,0.0000000000,0.0200779799
13.202678,0.0200729647,0.0000000000
13.621211,0.0000000000,0.0200779777
14.037394,0.0200729331,0.0000000000
14.455814,0.0000000000,0.0200765859
14.872211,0.0200707870,0.0000000000
15.290669,0.0000000000,0.0200746009
15.707033,0.0200698272,0.0000000000
16.125528,0.0000000000,0.0200736870
16.541744,0.0200684752,0.0000000000
16.960200,0.0000000000,0.0200727500
17.376597,0.0200683872,0.0000000000
17.795092,0.0000000000,0.0200720283
18.211456,0.0200666836,0.0000000000
18.630061,0.0000000000,0.0200700303
19.046278,0.0200664266,0.0000000000
19.464661,0.0000000000,0.0200707049
19.880808,0.0200657524,0.0000000000
20.299517,0.0000000000,0.0200682163
20.715806,0.0200633049,0.0000000000
21.134336,0.0000000000,0.0200673326
21.550625,0.0200629842,0.0000000000
21.969231,0.0000000000,0.0200667319
22.385447,0.0200621030,0.0000000000
22.804158,0.0000000000,0.0200653322
23.220161,0.0200617685,0.0000000000
23.638767,0.0000000000,0.0200651208
24.054803,0.0200618626,0.0000000000
24.473222,0.0000000000,0.0200659106
24.889514,0.0200614058,0.0000000000
25.308331,0.0000000000,0.0200641368
25.724442,0.0200604397,0.0000000000
26.143294,0.0000000000,0.0200636049
26.559511,0.0200598162,0.0000000000
26.978292,0.0000000000,0.0200623154
27.394511,0.0200577112,0.0000000000
27.813400,0.0000000000,0.0200619117
28.229511,0.0200567143,0.0000000000
28.648478,0.0000000000,0.0200596622
29.064694,0.0200550254,0.0000000000
29.483297,0.0000000000,0.0200583750
29.899406,0.0200548298,0.0000000000
