Time (h),Discharge (Ah),Charge (Ah)
69.576686,0.0200036051,0.0000000000
69.991497,0.0000000000,0.0200055318
70.404644,0.0200028667,0.0000000000
70.819422,0.0000000000,0.0200040849
71.232461,0.0200008305,0.0000000000
71.647017,0.0000000000,0.0199987171
72.059767,0.0199963624,0.0000000000
72.474436,0.0000000000,0.0200027793
72.887372,0.0200004576,0.0000000000
73.302036,0.0000000000,0.0200028023
73.714933,0.0199969585,0.0000000000
74.129561,0.0000000000,0.0199976132
74.542422,0.0199943380,0.0000000000
74.957050,0.0000000000,0.0199960102
75.369983,0.0199939450,0.0000000000
75.784467,0.0000000000,0.0199904840
76.197217,0.0199892148,0.0000000000
76.611917,0.0000000000,0.0199967109
77.024775,0.0199938017,0.0000000000
77.439408,0.0000000000,0.0199951490
77.852253,0.0199922917,0.0000000000
78.266714,0.0000000000,0.0199891939
78.679478,0.0199852391,0.0000000000
79.093931,0.0000000000,0.0199922947
79.506681,0.0199911440,0.0000000000
79.921128,0.0000000000,0.0199911609
80.333806,0.0199842978,0.0000000000
80.748181,0.0000000000,0.0199879562
81.161039,0.0199902498,0.0000000000
81.575558,0.0000000000,0.0199907348
81.988242,0.0199835890,0.0000000000
82.402689,0.0000000000,0.0199863270
82.815367,0.0199870017,0.0000000000
83.229636,0.0000000000,0.0199850525
83.642317,0.0199808592,0.0000000000
84.056839,0.0000000000,0.0199851834
84.469517,0.0199792467,0.0000000000
84.883783,0.0000000000,0.0199772456
85.296461,0.0199790460,0.0000000000
85.710839,0.0000000000,0.0199817803
86.123408,0.0199754166,0.0000000000
86.537783,0.0000000000,0.0199806369
86.950461,0.0199807218,0.0000000000
87.364728,0.0000000000,0.0199792052
87.777375,0.0199757702,0.0000000000
88.191681,0.0000000000,0.0199777263
88.604142,0.0199719226,0.0000000000
