RowID,Time,DimerConc
0,0.0,0.0
1,1.75,0.0012730393561212615
2,2.0,0.0016699784384615378
3,2.25,0.002124856262987529
4,2.5,0.002614326663620146
5,2.75,0.00312929385961782
6,3.0,0.00371229197101013
7,3.25,0.0043765996538471285
8,3.5,0.005089774961308162
9,3.75,0.0058366697683078905
10,4.0,0.0066514721748028305
11,4.25,0.007446494711030044
12,4.5,0.00823995853428853
13,4.75,0.009010243901091144
14,5.0,0.00976897210179967
15,5.25,0.010529772009618531
16,5.5,0.011263047808685794
17,5.75,0.012003480862555668
18,6.0,0.012713701521066484
19,6.25,0.013403984464958307
20,6.5,0.014104191872435834
21,6.75,0.014776322715932341
22,7.0,0.015448108274910454
23,7.25,0.016064835751113418
24,7.5,0.01667344904113423
25,7.75,0.01726411740147076
26,8.0,0.01781395833382575
27,8.25,0.018353909331046872
28,8.5,0.01888041396259472
29,8.75,0.019395341697504585
30,9.0,0.01988826494332109
31,9.25,0.02034857853269373
32,9.5,0.0208998154010302
33,9.75,0.02143851844134915
34,10.0,0.02192865474783866
35,10.25,0.022395647126324136
36,10.5,0.022807591287306413
37,10.75,0.023161118240413208
38,11.0,0.023504528357131193
39,11.25,0.02383736290231452
40,11.5,0.024154694172622167
41,11.75,0.02445287695006714
42,12.0,0.024702261159791763
43,12.25,0.02493025252728418
44,12.5,0.025132071328282695
45,12.75,0.025324680897912167
46,13.0,0.025518923170050025
47,13.25,0.025573502787135414
48,13.5,0.025593721662005093
49,13.75,0.025628121865308613
50,14.0,0.025635644135173528
51,14.25,0.025667568155216598
52,14.5,0.02567164744516957
53,14.75,0.025698125835094048
54,15.0,0.025670177519648427
55,15.25,0.025598368205095416
56,15.5,0.025550176351600232
57,15.75,0.02545696432954307
58,16.0,0.025347597924661257
59,16.25,0.02522337935285274
60,16.5,0.02505943333088555
61,16.75,0.02485529125834187
62,17.0,0.02465915485398885
63,17.25,0.024430078306581497
64,17.5,0.02419354854621291
65,17.75,0.02395162741472147
66,18.0,0.023648807959458125
67,18.25,0.023328142227230033
68,18.5,0.02297020056492384
69,18.75,0.022614513117259125
70,19.0,0.022231632047453268
71,19.25,0.02180655227686427
72,19.5,0.0214154633007927
73,19.75,0.020974909851143884
74,20.0,0.02051088198688058
75,20.25,0.02002004031344636
76,20.5,0.019538753155899567
77,20.75,0.01899476232981329
78,21.0,0.01845497904221538
79,21.25,0.017877840902363735
80,21.5,0.017296939161261647
81,21.75,0.016718434681244378
82,22.0,0.0161063192196799
83,22.25,0.015483302632606274
84,22.5,0.014845631184045017
85,22.75,0.014214411623341661
86,23.0,0.013556052699492909
87,23.25,0.012882920530893075
88,23.5,0.012207361505392563
89,23.75,0.011542427377786487
90,24.0,0.010846590285784573
91,24.25,0.010140828730196954
92,24.5,0.009438830775859781
93,24.75,0.008748533034060027
94,25.0,0.008076703081358117
95,25.25,0.007400177259206117
96,25.5,0.006734424314027858
97,25.75,0.006139425099303534
98,26.0,0.005570425808813921
99,26.25,0.0050183158639095175
100,26.5,0.004497567618546811
101,26.75,0.004022860597393324
102,27.0,0.0035982642251300694
103,27.25,0.003223176720167856
104,27.5,0.0028824450247853716
105,27.75,0.002643325630528866
106,28.0,0.0024090599500737166
107,28.25,0.002241064233969418
108,28.5,0.002089291957593437
109,28.75,0.0019834523874351796
110,29.0,0.0019069915971558697
111,29.25,0.001828113815247835
112,29.5,0.001775240890210488
113,29.75,0.0017301911258326451
114,30.0,0.0017328448839882655
115,30.25,0.001719393585679016
116,30.5,0.0017217908467638328
117,30.75,0.0017089709258596376
118,31.0,0.0016970438120672776
119,31.25,0.0016998800777540467
120,31.5,0.001663003691190075
121,31.75,0.0016752415610489855
122,32.0,0.0017062530434363162
123,32.25,0.001755717517013564
124,32.5,0.002021300503286618
125,32.75,0.0022746160238848985
126,33.0,0.0025649460448545066
127,33.25,0.002846283870438064
128,33.5,0.003194513172505571
129,33.75,0.0035811430456539396
130,34.0,0.004048608957193208
131,34.25,0.004546405647354982
132,34.5,0.005110324322788296
133,34.75,0.005729350407356535
134,35.0,0.00637895390234613
135,35.25,0.007083260330320534
136,35.5,0.007830830908449112
137,35.75,0.008554670574892394
138,36.0,0.009346689135809622
139,36.25,0.009949999842155171
140,36.5,0.010611471259305403
141,36.75,0.011314564258829467
142,37.0,0.01204404192819445
143,37.25,0.01275127340930321
144,37.5,0.013451273646069703
145,37.75,0.014142784816319798
146,38.0,0.014817352381988936
147,38.25,0.015474044074877465
148,38.5,0.016066522712617548
149,38.75,0.01690563314920709
150,39.0,0.01769554054192617
151,39.25,0.018425481879072985
152,39.5,0.019121412691158465
153,39.75,0.019785192581945926
154,40.0,0.020391778558580195
155,40.25,0.02094439163235425
156,40.5,0.021463714345919607
157,40.75,0.02195941466579116
158,41.0,0.022443399975217368
159,41.25,0.022889216547453628
160,41.5,0.02330739062767484
161,41.75,0.023714051935525768
162,42.0,0.024087398219988104
163,42.25,0.024503831079709437
164,42.5,0.02460833390551793
165,42.75,0.024744277353043756
166,43.0,0.02489818546079777
167,43.25,0.025060592500340147
168,43.5,0.025196264652887233
169,43.75,0.025348051727171146
170,44.0,0.025499449123212878
171,44.25,0.02563466747325008
172,44.5,0.02576478547768708
173,44.75,0.02586203239597342
174,45.0,0.025945852679130403
175,45.25,0.025989570631794457
176,45.5,0.026051825430460036
177,45.75,0.026044983864359952
178,46.0,0.02601482572799664
179,46.25,0.02598519538368287
180,46.5,0.025920212837322012
181,46.75,0.025817855708163508
182,47.0,0.025667883843919128
183,47.25,0.025509072696003984
