RowID,Time,Capacity
0,0.514668,0.0
1,0.516834,0.005595480000000001
2,0.519,0.01220976
3,0.521166,0.01869372
4,0.5233319999999999,0.025193880000000002
5,0.525498,0.03169548
6,0.527664,0.038194559999999995
7,0.529836,0.04469436
8,0.532002,0.051193800000000005
9,0.5341680000000001,0.05769323999999999
10,0.536334,0.06419232
11,0.5385,0.0706914
12,0.540666,0.07719047999999999
13,0.542832,0.08368956
14,0.5449980000000001,0.09018828
15,0.547164,0.09668736
16,0.549336,0.10318608
17,0.551502,0.10968516
18,0.5536679999999999,0.11618388
19,0.555834,0.1226826
20,0.5579999999999999,0.12918132
21,0.5601659999999999,0.13568004
22,0.562332,0.14217876
23,0.5644979999999999,0.14867748
24,0.5666640000000001,0.15517620000000001
25,0.568836,0.16167492
26,0.571002,0.16817328
27,0.573168,0.17467200000000002
28,0.5753339999999999,0.18117071999999998
29,0.5775,0.18766944
30,0.579666,0.1941678
31,0.581832,0.20066652
32,0.583998,0.20716524
33,0.5861639999999999,0.2136636
34,0.588336,0.22016232
35,0.590502,0.22666103999999998
36,0.5926680000000001,0.23315940000000002
37,0.594834,0.23965812000000003
38,0.597,0.24615647999999998
39,0.599166,0.25265484000000005
40,0.601332,0.25915356
41,0.603498,0.26565192
42,0.605664,0.27215064
43,0.607836,0.278649
44,0.610002,0.28514772
45,0.6121679999999999,0.29164608000000003
46,0.614334,0.29814480000000004
47,0.6164999999999999,0.30464316
48,0.618666,0.31114188
49,0.620832,0.31764023999999996
50,0.6229979999999999,0.3241386
51,0.625164,0.33063732
52,0.627336,0.33713568
53,0.629502,0.34363404000000003
54,0.631668,0.3501324
55,0.633834,0.35663112
56,0.636,0.36312947999999995
57,0.638166,0.36962784
58,0.640332,0.37612656
59,0.642498,0.38262492
60,0.644664,0.38912328
61,0.646836,0.39562200000000003
62,0.649002,0.40212036
63,0.651168,0.40861872000000005
64,0.653334,0.41511744
65,0.6555000000000001,0.4216158
66,0.657666,0.42811415999999997
67,0.661998,0.44111123999999996
68,0.666336,0.45410796000000003
69,0.670668,0.46710468
70,0.6749999999999999,0.48010175999999993
71,0.6793319999999999,0.49309848
72,0.685836,0.5125939199999999
73,0.692334,0.5320893600000001
74,0.698832,0.55158444
75,0.7075020000000001,0.57757824
76,0.7183320000000002,0.6100704
77,0.7313339999999999,0.64906056
78,0.746502,0.6945494400000001
79,0.7638359999999998,0.74653668
80,0.783336,0.80502228
81,0.8071679999999999,0.8765046
82,0.835332,0.9609836399999999
83,0.8678339999999999,1.0584593999999998
84,0.902502,1.16243352
85,0.9371640000000001,1.26640728
86,0.9718319999999999,1.3703813999999999
87,1.0065000000000002,1.47435516
88,1.041168,1.57832892
89,1.075836,1.68230268
90,1.110498,1.78627644
91,1.1451660000000001,1.8902502
92,1.179834,1.9942239600000002
93,1.214502,2.09819772
94,1.249164,2.20217112
95,1.283832,2.30614488
96,1.3185,2.4101182800000003
97,1.3531680000000001,2.51409204
98,1.387836,2.61806544
99,1.422498,2.7220392
100,1.4571660000000004,2.8260126
101,1.491834,2.92998636
102,1.5265019999999998,3.03395976
103,1.5611640000000002,3.1379331599999998
104,1.5958320000000001,3.24190692
105,1.6304999999999998,3.34588032
106,1.665168,3.4498540799999997
107,1.6998360000000001,3.5538274800000003
108,1.7344979999999999,3.65780088
109,1.769166,3.76177464
110,1.8038340000000002,3.8657480399999997
111,1.838502,3.96972144
112,1.873164,4.07369484
113,1.907832,4.1776686
114,1.9425000000000001,4.281642000000001
115,1.9771679999999998,4.3856154
116,2.011836,4.4895888
117,2.046498,4.59356256
118,2.0811659999999996,4.69753596
119,2.115834,4.801509360000001
120,2.150502,4.90548276
121,2.185164,5.00945616
122,2.2198320000000002,5.11342956
123,2.2544999999999997,5.21740296
124,2.289168,5.32137636
125,2.323836,5.42534976
126,2.358498,5.52932352
127,2.393166,5.63329692
128,2.427834,5.73727032
129,2.462502,5.84124336
130,2.497164,5.94521712
131,2.5318319999999996,6.049190520000001
132,2.5665,6.15316392
133,2.601168,6.25713732
134,2.635836,6.36111072
135,2.6704980000000003,6.46508412
136,2.7051659999999997,6.56905752
137,2.739834,6.6730309199999995
138,2.774502,6.7770043200000005
139,2.809164,6.88097772
140,2.843832,6.98495112
141,2.8784999999999994,7.08892416
142,2.9131679999999998,7.19289756
143,2.9478359999999997,7.296870960000001
144,2.9824979999999996,7.400844360000001
145,3.017166,7.50481776
146,3.0518340000000004,7.608791159999999
147,3.0865020000000003,7.71276456
148,3.1211639999999994,7.81673796
149,3.1558319999999997,7.920711359999999
150,3.1905,8.024684760000001
151,3.225168,8.12865816
152,3.259836,8.23263156
153,3.2944980000000004,8.33660496
154,3.329166,8.44057836
155,3.3638339999999998,8.5445514
156,3.398502,8.6485248
157,3.4331639999999997,8.7524982
158,3.467832,8.856471599999999
159,3.5025000000000004,8.960445
160,3.537168,9.064418400000001
161,3.5718360000000002,9.1683918
162,3.606498,9.2723652
163,3.6411659999999997,9.3763386
164,3.6758339999999996,9.480312
165,3.710502,9.584285399999999
166,3.745164,9.688258800000002
167,3.7798320000000003,9.7922322
168,3.8145000000000002,9.89620524
169,3.8491679999999997,10.000178640000001
170,3.883836,10.10415204
171,3.918498,10.20812544
172,3.9531660000000004,10.312098839999999
173,3.9878340000000003,10.41607224
174,4.022501999999999,10.52004564
175,4.057164,10.62401904
176,4.091832,10.727992440000001
177,4.1265,10.83196584
178,4.161168,10.93593924
179,4.195836,11.03991264
180,4.230498,11.14388604
181,4.265166,11.24785908
182,4.299834000000001,11.35183248
